Colony,Day,BeesT0,BeesT120,Recruitment
1,17,0,33,33
2,17,0,6,6
3,17,51,55,4
4,17,43,51,8
5,17,0,2,2
6,17,0,12,12
7,17,109,184,75
8,17,89,102,13
9,17,3,14,11
10,17,27,67,40
11,17,34,89,55
12,17,7,10,3
13,17,39,76,37
14,17,24,30,6
15,17,85,162,77
16,17,51,55,4
17,17,0,0,0
18,17,0,44,44
19,17,0,30,30
20,17,17,89,72
21,17,10,27,17
22,17,52,159,107
23,17,10,27,17
24,17,25,55,30
1,21,1,75,74
2,21,23,41,18
3,21,5,101,96
4,21,7,99,92
5,21,1,2,1
6,21,2,31,29
7,21,29,80,51
8,21,4,96,92
9,21,7,7,0
10,21,5,43,38
11,21,7,77,70
12,21,2,24,22
13,21,4,43,39
14,21,0,15,15
15,21,0,71,71
16,21,16,161,145
17,21,0,0,0
18,21,10,68,58
19,21,2,15,13
20,21,22,85,63
21,21,4,78,74
22,21,52,184,132
23,21,6,51,45
24,21,9,26,17
1,24,1,21,20
2,24,3,28,25
3,24,9,39,30
4,24,6,82,76
5,24,1,15,14
6,24,2,16,14
7,24,15,110,95
8,24,0,35,35
9,24,1,20,19
10,24,9,22,13
11,24,3,8,5
12,24,15,26,11
13,24,5,16,11
14,24,0,14,14
15,24,2,110,108
16,24,8,56,48
17,24,0,0,0
18,24,7,57,50
19,24,6,66,60
20,24,5,58,53
21,24,2,45,43
22,24,14,170,156
23,24,2,43,41
24,24,8,21,13
1,28,0,23,23
2,28,8,42,34
3,28,5,77,72
4,28,40,57,17
5,28,4,9,5
6,28,0,20,20
7,28,21,97,76
8,28,34,181,147
9,28,3,25,22
10,28,23,87,64
11,28,2,112,110
12,28,0,93,93
13,28,4,26,22
14,28,5,9,4
15,28,26,122,96
16,28,5,35,30
17,28,0,3,3
18,28,12,34,22
19,28,7,26,19
20,28,7,44,37
21,28,9,37,28
22,28,47,183,136
23,28,12,60,48
24,28,5,53,48
1,31,11,43,32
2,31,8,52,44
3,31,5,8,3
4,31,14,102,88
5,31,1,19,18
6,31,2,34,32
7,31,38,137,99
8,31,11,159,148
9,31,1,10,9
10,31,4,23,19
11,31,6,96,90
12,31,4,61,57
13,31,1,13,12
14,31,3,2,-1
15,31,18,155,137
16,31,8,22,14
17,31,0,0,0
18,31,16,142,126
19,31,3,42,39
20,31,15,29,14
21,31,19,119,100
22,31,20,46,26
23,31,2,20,18
24,31,25,86,61
1,35,36,165,129
2,35,47,0,-47
3,35,16,30,14
4,35,50,113,63
5,35,15,42,27
6,35,0,1,1
7,35,31,110,79
8,35,16,210,194
9,35,5,48,43
10,35,7,21,14
11,35,32,151,119
12,35,0,85,85
13,35,3,6,3
14,35,16,2,-14
15,35,16,85,69
16,35,2,23,21
17,35,0,0,0
18,35,29,96,67
19,35,1,27,26
20,35,5,36,31
21,35,3,34,31
22,35,5,21,16
23,35,0,7,7
24,35,10,20,10
