Colony,Day,BeesT0,BeesT120,Recruitment
1,23,8,42,34
2,23,33,139,106
3,23,0,49,49
4,23,16,43,27
5,23,9,43,34
6,23,5,14,9
7,23,10,29,19
8,23,24,125,101
9,23,45,132,87
10,23,7,43,36
11,23,19,88,69
12,23,17,60,43
13,23,12,82,70
14,23,37,94,57
15,23,14,55,41
16,23,34,151,117
17,23,50,112,62
18,23,16,63,47
19,23,59,167,108
20,23,12,55,43
21,23,38,81,43
22,23,18,54,36
23,23,84,281,197
24,23,72,195,123
